State,Abbreviation,2018_Population
California,CA,39776830
Texas,TX,28704330
Florida,FL,21312211
New York,NY,19862512
Pennsylvania,PA,12823989
Illinois,IL,12768320
Ohio,OH,11694664
Georgia,GA,10545138
North Carolina,NC,10390149
Michigan,MI,9991177
